"","DistrictName","WithDTP","WithPolio","WithMMR","WithHepB","PctUpToDate","DistrictComplete","PctBeliefExempt","PctMedicalExempt","PctChildPoverty","PctFamilyPoverty","PctFreeMeal","Enrolled","TotalSchools"
"833","Happy Camp Union Elementary",60,87,60,93,33,TRUE,7,0,39,24,62,15,1
"526","Banta Elementary",97,97,97,96,96,TRUE,1,0,21,20,44,100,2
"94","Bellflower Unified",97,98,97,98,96,TRUE,1,0,20,11,61,1070,11
"252","Midway Elementary",100,100,100,100,100,TRUE,0,0,27,5,32,14,1
"126","Rowland Unified",98,98,98,98,97,TRUE,1,0,24,9,58,1192,15
"275","Templeton Unified",84,84,84,85,84,TRUE,15,0,10,6,NA,200,1
"23","Santee",96,96,96,96,96,TRUE,3,0,11,7,33,696,9
"24","Holtville Unified",100,100,100,100,100,TRUE,0,0,27,19,NA,106,2
"825","Big Springs Union Elementary",71,71,71,71,71,TRUE,29,0,23,5,NA,17,1
"786","Millville Elementary",74,83,83,83,74,TRUE,17,0,14,2,33,23,1
"2","San Ysidro Elementary",98,99,99,99,98,TRUE,0,0,36,20,NA,521,4
"19","Meadows Union Elementary",100,100,100,100,100,TRUE,0,0,39,23,71,48,1
"366","Pacific Grove Unified",78,83,79,85,74,TRUE,10,0,8,5,16,156,2
"809","Burnt Ranch Elementary",56,56,56,56,56,TRUE,44,0,35,11,49,16,1
"658","Eureka Union",84,85,83,86,83,TRUE,11,0,7,2,10,309,3
"52","Vallecitos Elementary",87,100,87,100,84,TRUE,0,0,31,9,NA,31,1
"184","Rialto Unified",97,97,97,98,96,TRUE,1,0,28,18,NA,1910,19
"625","Piner-Olivet Union Elementary",93,95,93,97,90,TRUE,2,0,9,4,36,165,3
"390","Hollister",98,99,98,99,98,TRUE,1,0,16,11,59,687,8
"586","Old Adobe Union",95,96,96,98,95,TRUE,2,0,10,5,36,245,5
"464","Las Lomitas Elementary",95,95,95,95,95,TRUE,3,1,3,2,4,128,1
"38","Carlsbad Unified",91,91,90,91,89,TRUE,8,0,13,8,NA,650,9
"265","Fruitvale Elementary",90,90,90,90,90,TRUE,10,0,18,7,29,484,4
"471","Chatom Union",97,97,97,97,97,TRUE,3,0,33,14,NA,97,1
"550","Brentwood Union Elementary",94,95,94,95,93,TRUE,4,0,9,5,22,871,8
"581","Lodi Unified",96,96,96,98,95,TRUE,1,0,20,12,61,2233,32
"535","Big Oak Flat-Groveland Unified",75,75,71,75,71,TRUE,25,0,14,4,52,28,1
"42","Magnolia Union Elementary",94,100,100,100,94,TRUE,0,0,24,0,17,16,1
"648","Natomas Unified",86,88,85,93,83,TRUE,3,1,18,8,NA,1119,10
"276","Sierra Sands Unified",79,75,74,87,71,TRUE,5,0,22,8,52,410,6
"192","Moorpark Unified",94,95,95,94,94,TRUE,5,0,10,4,32,540,6
"136","Pomona Unified",96,97,96,98,95,TRUE,0,0,29,15,NA,2055,27
"460","Palo Alto Unified",88,87,88,87,87,TRUE,2,1,4,3,7,927,13
"299","Big Sur Unified",23,23,23,23,23,TRUE,77,0,20,0,NA,13,1
"806","Trinity Alps Unified",83,83,83,83,83,TRUE,17,0,25,7,NA,29,1
"93","Buena Park Elementary",99,99,99,99,98,TRUE,1,0,21,10,65,626,6
"605","Napa Valley Unified",94,95,95,96,94,TRUE,3,0,13,8,NA,1424,20
"246","Silver Valley Unified",96,97,96,98,96,TRUE,1,1,23,16,43,295,3
"668","Pleasant Grove Joint Union",92,92,92,96,92,TRUE,4,0,11,1,NA,25,1
"562","Bolinas-Stinson Union",46,38,54,62,38,TRUE,38,0,24,13,24,13,1
"669","Camino Union Elementary",57,75,56,82,52,TRUE,5,0,14,4,47,61,1
"813","McKinleyville Union Elementary",79,77,75,90,72,TRUE,6,0,20,11,40,173,2
"257","Atascadero Unified",90,89,91,92,88,TRUE,7,0,14,9,35,365,6
"157","Central Elementary",97,97,97,97,95,TRUE,1,1,16,4,48,510,5
"223","Wilsona Elementary",99,99,99,99,99,TRUE,1,0,37,24,89,157,1
"1","South Bay Union",96,96,96,98,95,TRUE,1,0,30,16,54,1044,11
"206","Acton-Agua Dulce Unified",80,77,82,86,76,TRUE,13,0,14,4,NA,79,2
"665","Cloverdale Unified",96,96,96,96,96,TRUE,4,0,12,5,58,114,1
"461","Mountain View Whisman",97,97,97,97,96,TRUE,3,0,11,6,34,655,7
"800","Lewiston Elementary",90,90,90,90,90,TRUE,10,0,47,23,74,10,1
"697","Wheatland",98,99,98,99,97,TRUE,1,0,31,12,25,201,3
"620","Oak Grove Union Elementary",80,80,80,80,80,TRUE,20,0,14,4,20,71,1
"219","Fillmore Unified",97,98,97,99,96,TRUE,0,0,23,11,72,255,3
