index,date,day_of_week,day_night,v_name,h_name,h_wins_last_30,h_hr_last_30,h_hits_last_30,h_runs_last_30,h_game_number,attendance
147793,2007-04-17,Tue,N,SFN,COL,13,1,9.433333333333334,5.533333333333333,14,18207
147794,2007-04-17,Tue,N,MIA,HOU,17,1.1666666666666667,8.633333333333333,4.433333333333334,12,38106
147795,2007-04-17,Tue,N,NYN,PHI,16,1.1333333333333333,9.6,5.3,12,27058
147796,2007-04-17,Tue,D,PIT,SLN,13,1.0333333333333334,8.566666666666666,4.433333333333334,13,42446
147797,2007-04-17,Tue,N,ATL,WAS,12,0.5333333333333333,8.166666666666666,3.566666666666667,14,17791
147798,2007-04-17,Tue,N,TEX,CHA,13,1.1333333333333333,7.766666666666667,3.9,12,23139
147799,2007-04-17,Tue,N,KCA,DET,16,1.2333333333333334,9.433333333333334,5.866666666666666,14,21263
147800,2007-04-17,Tue,N,CLE,NYA,15,1.3666666666666667,9.666666666666666,5.766666666666667,12,38438
147801,2007-04-17,Tue,N,ANA,OAK,16,0.6666666666666666,8.366666666666667,4.333333333333333,14,20174
147802,2007-04-17,Tue,N,MIN,SEA,16,1.3333333333333333,10.133333333333333,5.533333333333333,9,19015
147803,2007-04-17,Tue,N,BAL,TBA,9,1.2,8.933333333333334,4.4,14,9575
147804,2007-04-17,Tue,N,BOS,TOR,19,1.1,10.433333333333334,5.466666666666667,13,42162
147805,2007-04-18,Wed,N,CHN,ATL,19,1.5666666666666667,8.766666666666667,5.333333333333333,14,26837
147806,2007-04-18,Wed,N,HOU,CIN,16,0.7666666666666667,7.5,3.6666666666666665,15,13772
147807,2007-04-18,Wed,N,LAN,COL,14,1.0333333333333334,9.6,5.7,15,20366
147808,2007-04-18,Wed,N,NYN,MIA,11,1.0333333333333334,9.4,4.433333333333334,14,17219
147809,2007-04-18,Wed,N,PIT,MIL,17,1.1333333333333333,9,4.9,14,22331
147810,2007-04-18,Wed,N,ARI,SDN,20,0.9666666666666667,8.966666666666667,4.433333333333334,15,26872
147811,2007-04-18,Wed,N,SLN,SFN,8,0.8,8.533333333333333,4.3,13,40532
147812,2007-04-18,Wed,N,PHI,WAS,12,0.5333333333333333,8.166666666666666,3.6333333333333333,15,18584
147813,2007-04-18,Wed,N,TEX,CHA,12,1.1666666666666667,7.766666666666667,3.8333333333333335,13,25390
147814,2007-04-18,Wed,D,KCA,DET,17,1.3,9.6,6,15,27945
